#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay between averages: 0.1 s
#	Magnetic field strength: 0.06 T
#	Calibration Name: phiVsActPhi
#	Number of Averages: 3
#	Phi End Position: 172 mm
#	Phi Start Position: -173 mm
#	Phi Scan Step Size: 1 mm
#	Probe Station Name: Icarus
#	Theta End Position: 0 mm
#	Theta Start Position: 0 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
-173.0,0.0,26.31999,21.40002,-172.75328425429518,-1.7257378186195926,-0.0073057730631510345,-0.05745437504882812,-0.0017449767415364664,6.146336874294066e-06,1.878931440579897e-05,1.3886162337923134e-05,0.05794328672184699,-0.002056713278153016,-3.5495281585011487,-1.1294850337862614,-0.9063720703125
-172.0,0.0,26.31999,21.40002,-171.74480445542335,-1.7504269063594788,-0.008312562207031244,-0.05729415776367187,-0.0017692544921875085,1.4688438054153832e-05,1.0617431067076794e-05,1.2123377712760719e-05,0.057921062367263354,-0.0020789376327366507,-3.589260189246208,-1.1294850337862614,-0.90667724609375
-171.0,0.0,26.31999,21.40002,-170.7459821112456,-1.7711502760590125,-0.009318199820963538,-0.05719061365559896,-0.0017917825683593815,1.3069022651159067e-05,1.27597312353871e-05,8.793792864492463e-06,0.057972455726660946,-0.002027544273339059,-3.4974269209827726,-1.1294850337862614,-0.9088134765625
-170.0,0.0,26.31999,21.40002,-169.71538333463556,-1.7907979136482637,-0.010344170279947912,-0.05700729252929687,-0.001811466406250008,6.680113745976735e-06,1.2949831657039246e-05,4.4355918426220426e-06,0.05796649610630573,-0.0020335038936942773,-3.5080676430139928,-1.1294850337862614,-0.90576171875
-169.0,0.0,26.31999,21.40002,-168.76949964117506,-1.8388776985850224,-0.011275778352864578,-0.05678816614583334,-0.0018588052734375068,4.9946062811375105e-06,1.157620662893316e-05,1.5945444402130154e-05,0.057926627285854126,-0.0020733727141458783,-3.579308534422826,-1.1294850337862614,-0.90850830078125
-168.0,0.0,26.31999,21.40002,-167.737731139095,-1.848317082235609,-0.012306629589843745,-0.05662242111002604,-0.0018698892578125046,1.3668226936098015e-05,1.454811014781401e-05,1.405996723678567e-05,0.05797454777796221,-0.002025452222037795,-3.4936921453792307,-1.1294850337862614,-0.90576171875
-167.0,0.0,26.31999,21.40002,-166.75638313654065,-1.8528796714764209,-0.013269587353515619,-0.05638207687174479,-0.0018738016113281329,7.48736117950459e-06,1.3153811436924798e-05,9.841359519341246e-06,0.05795284008038378,-0.0020471599196162232,-3.5324583174469097,-1.1294850337862614,-0.90606689453125
-166.0,0.0,26.31999,21.40002,-165.74419683865733,-1.8964848762279196,-0.014266755322265621,-0.05615164474283854,-0.0019183674479166708,1.9381618164158326e-05,1.1458198589920046e-05,1.7312736801488277e-05,0.057967470605647164,-0.0020325293943528402,-3.506327554259082,-1.1294850337862614,-0.90728759765625
-165.0,0.0,26.31999,21.40002,-164.71373102750047,-1.8930971529696539,-0.015274388785807285,-0.055886379850260424,-0.0019149515136718785,1.8836497647590766e-05,1.7157865996338857e-05,3.9190590971319386e-06,0.057967762116950004,-0.0020322378830500004,-3.5058070362453515,-1.1294850337862614,-0.906982421875
-164.0,0.0,26.31999,21.40002,-163.71628224901053,-1.9436101615404107,-0.01624596674804687,-0.05561553837890625,-0.0019662108723958413,1.6502807701012297e-05,4.371858672482113e-06,1.026412495053441e-05,0.057973144903040806,-0.0020268550969591986,-3.4961965585083963,-1.1294850337862614,-0.90606689453125
-163.0,0.0,26.31999,21.40002,-162.70900633021645,-1.9551086506322441,-0.017221658479817704,-0.05532300704752604,-0.001977911311848962,8.13607612262003e-06,4.594565954137088e-06,9.585274572298971e-06,0.057975277168234675,-0.00202472283176533,-3.4923900853288186,-1.1294850337862614,-0.90789794921875
-162.0,0.0,26.31999,21.40002,-161.69890912838244,-1.9807198586962713,-0.018195592399088537,-0.055014875130208335,-0.002003989599609383,1.1076418870947775e-06,2.8969796813944034e-06,4.794869976191107e-06,0.05798044534721622,-0.002019554652783785,-3.483165126948699,-1.1294850337862614,-0.90789794921875
-161.0,0.0,26.31999,21.40002,-160.70927463409691,-2.0118269410850593,-0.019145498811848956,-0.05469934575195312,-0.002035746191406257,1.1692645703595726e-05,3.7327310516234492e-06,9.988668896480393e-06,0.05798890249868544,-0.0020110975013145627,-3.468073053046921,-1.1294850337862614,-0.90789794921875
-160.0,0.0,26.31999,21.40002,-159.709382134309,-2.0322867388930517,-0.020100029654947914,-0.054364797819010414,-0.002056764664713546,9.22269194497065e-06,2.1761948561262483e-05,9.682582424041734e-06,0.05799804061274553,-0.002001959387254476,-3.4517707255346997,-1.1294850337862614,-0.9075927734375
-159.0,0.0,26.31999,21.40002,-158.74078017014327,-2.034662703516114,-0.021021837516276037,-0.05403182459309896,-0.0020597269042968804,1.6145505440366585e-05,9.026677062514799e-06,1.5104032110295545e-05,0.058013775918659256,-0.0019862240813407483,-3.4237110925612226,-1.1294850337862614,-0.90606689453125
-158.0,0.0,26.31999,21.40002,-157.72940825806373,-2.0693261679532418,-0.021967499951171865,-0.05364070520833333,-0.0020943928385416693,1.1094045903732381e-05,1.5898437322961623e-05,1.333220778870498e-05,0.05800243779975276,-0.0019975622002472437,-3.4439280072048257,-1.1294850337862614,-0.906982421875
-157.0,0.0,26.31999,21.40002,-156.70635418123007,-2.0605266966270217,-0.02293455724283854,-0.05326970708007813,-0.002086645442708338,2.051620331925823e-05,2.3407575789602e-05,1.3780018425365409e-05,0.05803455606383096,-0.0019654439361690423,-3.3866786781435754,-1.1294850337862614,-0.9063720703125
-156.0,0.0,26.31999,21.40002,-155.72133060890368,-2.0911586089457534,-0.02383855708007812,-0.05284900192057292,-0.0021169493977864634,1.552161584925382e-05,1.479467539342422e-05,2.0038414916376827e-05,0.05801530214015654,-0.001984697859843468,-3.4209903019184944,-1.1294850337862614,-0.9075927734375
-155.0,0.0,26.31999,21.40002,-154.70079806017893,-2.117280271626023,-0.0247796418782552,-0.05242362757161458,-0.002143727555338546,1.7265417990538335e-05,2.143849492830453e-05,8.829003930764585e-06,0.05802467533053025,-0.001975324669469758,-3.4042838813273315,-1.1294850337862614,-0.908203125
-154.0,0.0,26.31999,21.40002,-153.70704299779968,-2.1570705674515476,-0.0256765168782552,-0.05196856572265624,-0.0021833210611979237,7.496108418601209e-06,1.4007339198633887e-05,5.814260654797572e-06,0.058006742997048506,-0.0019932570029514984,-3.43625051151884,-1.1294850337862614,-0.90850830078125
-153.0,0.0,26.31999,21.40002,-152.69917687155774,-2.154947365764394,-0.026595118359374992,-0.05152528162434896,-0.0021818643554687572,9.788107106644055e-06,5.383961224478181e-06,1.6630352712168105e-05,0.05802512816946898,-0.001974871830531022,-3.4034768949810577,-1.1294850337862614,-0.90606689453125
-152.0,0.0,26.31999,21.40002,-151.71672397470766,-2.177316172578191,-0.02746813675130208,-0.051049557340494794,-0.0022040099446614648,2.54882755661167e-05,6.924748636764322e-06,1.8562553701454695e-05,0.05801218407442409,-0.0019878159255759115,-3.426549021194812,-1.1294850337862614,-0.90606689453125
-151.0,0.0,26.31999,21.40002,-150.74802670906632,-2.224548434238813,-0.028337586621093747,-0.050596314339192705,-0.002252689550781254,1.651699517736763e-05,4.935381721993932e-06,9.7551785862497e-06,0.058035165636281145,-0.0019648343637188592,-3.3855927560074495,-1.1294850337862614,-0.90606689453125
-150.0,0.0,26.31999,21.40002,-149.74574073743338,-2.2149615497953326,-0.02922583735351562,-0.05010581140950521,-0.00224355055338542,8.249037790057188e-06,1.2858928217389295e-05,5.62259431305964e-06,0.058049766796298564,-0.0019502332037014403,-3.3595883520858405,-1.1294850337862614,-0.90728759765625
-149.0,0.0,26.31999,21.40002,-148.75241226435296,-2.2231384978218682,-0.03008281774088541,-0.04957965581054687,-0.0022512979492187563,1.1204266411241437e-05,1.1987068500251177e-05,8.672068367483105e-06,0.05803607960553315,-0.001963920394466856,-3.383964609283526,-1.1294850337862614,-0.906982421875
-148.0,0.0,26.31999,21.40002,-147.7551090619892,-2.2694372554567344,-0.030926232047526037,-0.049024797412109376,-0.00229711907552084,1.2093778362673654e-05,8.515068584309065e-06,2.1618414734599e-05,0.058009821116798095,-0.0019901788832019096,-3.430761972519868,-1.1294850337862614,-0.90972900390625
-147.0,0.0,26.31999,21.40002,-146.7336915370544,-2.2705302010101165,-0.031791319938151034,-0.048459733935546874,-0.002297943050130216,9.100714076878502e-06,9.888608285960045e-06,6.623388497271952e-06,0.058002710098542076,-0.0019972899014579285,-3.4434423806485746,-1.1294850337862614,-0.906982421875
-146.0,0.0,26.31999,21.40002,-145.73570874642363,-2.240853193461762,-0.03264075027669271,-0.04791366866861979,-0.002268587174479172,7.89687267095905e-06,3.6650119157863847e-06,7.755680623222527e-06,0.05801969244730537,-0.0019803075526946337,-3.413164512192456,-1.1294850337862614,-0.9063720703125
-145.0,0.0,26.31999,21.40002,-144.75286010540862,-2.269237661801708,-0.03345304886067708,-0.047339982958984374,-0.002297025488281257,1.831508077367513e-05,1.0493128607708807e-05,1.0303776885648609e-05,0.05801255718140334,-0.0019874428185966617,-3.425883834739424,-1.1294850337862614,-0.906982421875
-144.0,0.0,26.31999,21.40002,-143.71182628644894,-2.2727184196550296,-0.034327930859374994,-0.04675203740234374,-0.002301914404296883,8.365942315327798e-06,2.908413256245622e-06,1.4376821229809932e-05,0.058047038238663716,-0.0019529617613362887,-3.364446870323641,-1.1294850337862614,-0.90789794921875
-143.0,0.0,26.31999,21.40002,-142.77511417913144,-2.299528316861287,-0.03508978592122396,-0.04618741541341146,-0.002329239843750004,6.915360117648064e-06,1.3290757472533556e-05,1.2022114212225285e-05,0.05805166472047187,-0.0019483352795281322,-3.3562091438887767,-1.1294850337862614,-0.9063720703125
-142.0,0.0,26.31999,21.40002,-141.76747121851724,-2.3183316156291522,-0.03589595454101562,-0.04556237065429688,-0.0023482645019531324,1.541219033086982e-05,1.571955995893583e-05,2.0336555028999492e-05,0.058051386875950926,-0.0019486131240490784,-3.3567038255486272,-1.1294850337862614,-0.90728759765625
-141.0,0.0,26.31999,21.40002,-140.78481149219007,-2.3186256446534044,-0.036652538199869786,-0.044916136523437504,-0.002347312353515633,9.429922203326335e-06,7.726276151971172e-06,1.6499872862200733e-05,0.05802049424100037,-0.0019795057589996334,-3.4117354305486236,-1.1294850337862614,-0.90789794921875
-140.0,0.0,26.31999,21.40002,-139.75539034662765,-2.325161787517464,-0.03746290196940103,-0.04426141036783854,-0.0023545226399739653,8.757552187756148e-06,2.1813598432395315e-05,1.7719578678563334e-05,0.05803520697457111,-0.0019647930254288945,-3.385519114784573,-1.1294850337862614,-0.90606689453125
-139.0,0.0,26.31999,21.40002,-138.74689703733918,-2.3460528321634664,-0.03823132644856771,-0.04358971033528646,-0.00237540276692709,1.5154748112479933e-05,3.082258604244625e-07,1.4148449790628014e-05,0.05802878343922314,-0.0019712165607768672,-3.396963444600618,-1.1294850337862614,-0.90728759765625
-138.0,0.0,26.31999,21.40002,-137.7633038979785,-2.363024066051088,-0.03897228103841146,-0.04292515751953125,-0.002392502783203132,8.159596642864703e-06,6.723583242489526e-06,1.0089118097499956e-05,0.05802699291692729,-0.0019730070830727142,-3.4001539350786523,-1.1294850337862614,-0.91033935546875
-137.0,0.0,26.31999,21.40002,-136.77551201009004,-2.366157309053132,-0.0396993419921875,-0.04223931360677083,-0.0023952473307291716,3.71780095425257e-06,2.1103842601002193e-05,1.726328609076971e-05,0.058016675002615946,-0.001983324997384059,-3.4185430262844805,-1.1294850337862614,-0.9051513671875
-136.0,0.0,26.31999,21.40002,-135.76319107064552,-2.385922487485184,-0.04043954991861979,-0.041531484830729166,-0.0024152872070312553,1.131581627961131e-05,7.56307000078067e-06,6.531031712921924e-06,0.05801771317587481,-0.0019822868241251915,-3.416692447211923,-1.1294850337862614,-0.90850830078125
