#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay between averages: 0.1 s
#	Magnetic field strength: 0.16 T
#	Calibration Name: phiVsActPhi
#	Number of Averages: 3
#	Phi End Position: 172 mm
#	Phi Start Position: -173 mm
#	Phi Scan Step Size: 1 mm
#	Probe Station Name: Icarus
#	Theta End Position: 0 mm
#	Theta Start Position: 0 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
-173.0,0.0,26.31999,21.40002,-172.72801706353064,-1.6810761046106637,-0.019572150830078124,-0.15337958460286458,-0.004537998388671883,1.4466378433001534e-05,1.3974666327294463e-05,5.403614427101024e-06,0.15468988166793007,-0.005310118332069957,-3.432750917392962,-3.063460634569776,-2.841796875
-172.0,0.0,26.31999,21.40002,-171.72702983161844,-1.6948307049598452,-0.02225152094726562,-0.1530340096516927,-0.004575740494791672,1.566615724073536e-05,5.882776647240048e-06,7.671466571361017e-06,0.1547109423913404,-0.005289057608659636,-3.418670668607911,-3.063460634569776,-2.84149169921875
-171.0,0.0,26.31999,21.40002,-170.72494684490928,-1.7265880260584292,-0.02492041539713541,-0.15259648930664063,-0.004660768570963547,1.1065481747321195e-05,7.078590675293448e-06,8.750838530943738e-06,0.15468819740351736,-0.005311802596482673,-3.433877106102919,-3.063460634569776,-2.84088134765625
-170.0,0.0,26.31999,21.40002,-169.72144095432265,-1.7435027478468372,-0.02758888463541666,-0.1521354236328125,-0.00470641879882813,3.2830464022299415e-05,4.477438001683704e-06,1.095905337427625e-05,0.15468834493028755,-0.005311655069712484,-3.4337784608829165,-3.063460634569776,-2.84088134765625
-169.0,0.0,26.31999,21.40002,-168.72073523524801,-1.7732353275853943,-0.030255117952473955,-0.15169776697591145,-0.004788856949869795,9.285270026531705e-06,9.703914637509196e-06,2.378384448533388e-06,0.15475954839260278,-0.005240451607397251,-3.386189519048593,-3.063460634569776,-2.84027099609375
-168.0,0.0,26.31999,21.40002,-167.7278757222434,-1.7978940015976372,-0.0328736583984375,-0.15112542607421872,-0.0048546813313802145,1.877948178342429e-05,9.22136921501049e-06,1.9089427474674193e-06,0.15473570936742612,-0.005264290632573915,-3.4021174905875453,-3.063460634569776,-2.841796875
-167.0,0.0,26.31999,21.40002,-166.72145249023276,-1.8293495697027955,-0.035515931347656245,-0.15049462773437502,-0.004938688085937506,1.5257495876189743e-05,1.2237091690106162e-05,1.302628180633166e-05,0.15470748203112134,-0.005292517968878696,-3.4209838460262967,-3.063460634569776,-2.84149169921875
-166.0,0.0,26.31999,21.40002,-165.73452689866522,-1.8427908818108205,-0.03810990514322916,-0.14988843470052085,-0.004975925634765631,1.8340203125176514e-05,1.278885378027802e-05,9.478934655475275e-06,0.15473741487733647,-0.00526258512266356,-3.40097779637544,-3.063460634569776,-2.841796875
-165.0,0.0,26.31999,21.40002,-164.72886142122064,-1.8651645595456703,-0.04071659459635416,-0.14912990808919271,-0.005034134863281257,2.7595771106632112e-05,9.908402140631253e-06,5.300504193224254e-06,0.1546703367683559,-0.005329663231644133,-3.4458211852387537,-3.063460634569776,-2.840576171875
-164.0,0.0,26.31999,21.40002,-163.73116881680343,-1.8911898161329228,-0.04332239090169271,-0.14845075769856772,-0.005106231624348964,6.452832186349322e-06,2.811916093494845e-05,1.0186879522054053e-06,0.15472727819010917,-0.005272721809890857,-3.4077519307309263,-3.063460634569776,-2.843017578125
