#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay between averages: 0.1 s
#	Magnetic field strength: 0.3 T
#	Calibration Name: phiVsActPhi
#	Number of Averages: 3
#	Phi End Position: 172 mm
#	Phi Start Position: -173 mm
#	Phi Scan Step Size: 1 mm
#	Probe Station Name: Icarus
#	Theta End Position: 0 mm
#	Theta Start Position: 0 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
-173.0,0.0,26.31999,21.40002,-172.73573426063066,-1.6938864763341217,-0.03672979039713541,-0.28814664392903644,-0.008590169205729173,3.1577898309610006e-05,1.7037702916738893e-05,1.3863231052742424e-05,0.2906051563843413,-0.009394843615658677,-3.232855098838466,-8.506809477007398,-8.287353515625
-172.0,0.0,26.31999,21.40002,-171.73200750055008,-1.7209319479298912,-0.041773365429687494,-0.2874701607747396,-0.008727744482421876,2.4321095271123723e-05,2.0454836242551806e-05,1.9545371354791048e-05,0.29062051014841894,-0.009379489851581047,-3.22740120674586,-8.506809477007398,-8.28582763671875
-171.0,0.0,26.31999,21.40002,-170.73089891691419,-1.7437237971067965,-0.04678256342773437,-0.2866533333821615,-0.008842075537109384,2.272807989981142e-05,2.1603844169378128e-05,1.643304982277981e-05,0.2905803229397657,-0.009419677060234277,-3.241677538567152,-8.506809477007398,-8.2843017578125
-170.0,0.0,26.31999,21.40002,-169.72542612994923,-1.764953571403874,-0.05180985631510416,-0.28581214278971356,-0.008950543147786467,2.4361381319541534e-05,1.6501818442730926e-05,1.4175014665852262e-05,0.2906079049167103,-0.009392095083289698,-3.2318787357080048,-8.506809477007398,-8.2843017578125
-169.0,0.0,26.31999,21.40002,-168.72571844580145,-1.78356612613381,-0.05678766393229167,-0.28485989059244793,-0.009044840429687506,1.274829113225338e-05,1.3988127190281445e-05,9.499966033658166e-06,0.2906059276436508,-0.009394072356349203,-3.2325811219750755,-8.506809477007398,-8.2891845703125
-168.0,0.0,26.31999,21.40002,-167.72727423169258,-1.8078225422944643,-0.06174830032552083,-0.28385239140625,-0.009168747900390628,2.7494018246092206e-05,1.288512526819323e-05,8.347820067949926e-06,0.290635680256569,-0.009364319743430993,-3.2220131179916747,-8.506809477007398,-8.284912109375
-167.0,0.0,26.31999,21.40002,-166.726423663361,-1.8332902286943558,-0.06670436925455729,-0.2827617501302084,-0.009299027441406255,1.983706575323203e-05,5.747347940002512e-06,6.654373596959757e-06,0.2906718977226776,-0.009328102277322392,-3.209151744769661,-8.506809477007398,-8.284912109375
-166.0,0.0,26.31999,21.40002,-165.72168066317852,-1.8539746087144022,-0.07164967768554688,-0.28153794438476565,-0.009403662044270842,2.315555798075676e-05,4.83257645678642e-06,1.3016267929794093e-05,0.2906642724874955,-0.0093357275125045,-3.211859315425884,-8.506809477007398,-8.28826904296875
-165.0,0.0,26.31999,21.40002,-164.72514859333518,-1.8755276327027741,-0.07654125279947917,-0.2802709725423177,-0.009513797949218751,2.5642306878677458e-05,2.1350917917916394e-05,1.3197563211315345e-05,0.29069037442156376,-0.009309625578436231,-3.2025916224302855,-8.506809477007398,-8.28521728515625
-164.0,0.0,26.31999,21.40002,-163.7288392172051,-1.8977655290728284,-0.08139693110351562,-0.27887679326171877,-0.009625962255859382,4.687168851388626e-06,3.3231423977671924e-06,7.128165916428228e-06,0.2906722989250285,-0.009327701074971495,-3.2090092896596722,-8.506809477007398,-8.28765869140625
-163.0,0.0,26.31999,21.40002,-162.72197058685776,-1.9180858207010623,-0.08629205032552083,-0.27742651860351564,-0.009729919368489591,3.680170486907079e-05,2.116335639982167e-05,1.531393869392652e-05,0.2906999527085726,-0.009300047291427416,-3.199191195173924,-8.506809477007398,-8.28399658203125
-162.0,0.0,26.31999,21.40002,-161.72201734932648,-1.943189282087712,-0.09111398636067708,-0.27585878789062496,-0.009856660904947924,1.9287898266154842e-05,8.255330735667316e-06,1.4523013571075961e-05,0.29068364785658923,-0.009316352143410755,-3.2049797820092865,-8.506809477007398,-8.284912109375
-161.0,0.0,26.31999,21.40002,-160.72332773203388,-1.961610226733521,-0.09590987055664063,-0.27423347864583336,-0.009950341731770838,2.1495580352023132e-05,1.7980902013426687e-05,9.29425933828614e-06,0.2906917841648871,-0.009308215835112876,-3.202091129563208,-8.506809477007398,-8.28460693359375
-160.0,0.0,26.31999,21.40002,-159.72893697179356,-1.9810715611379042,-0.10066037307942709,-0.27254329309895836,-0.010049713069661464,4.186330499522594e-05,4.775246806769489e-06,2.031059276560496e-05,0.2907118058395577,-0.009288194160442298,-3.194983476373988,-8.506809477007398,-8.284912109375
-159.0,0.0,26.31999,21.40002,-158.72756051651064,-2.0030271595017584,-0.10541277176106771,-0.270754529671224,-0.010161633235677087,1.631893837484368e-05,1.7537624420086365e-05,3.5920639966681156e-06,0.2907286132768034,-0.009271386723196606,-3.1890176266789734,-8.506809477007398,-8.284912109375
-158.0,0.0,26.31999,21.40002,-157.72892514699348,-2.018183847806464,-0.11010985224609375,-0.26886209803059896,-0.010238051285807294,1.5634727628881585e-05,2.5482458827549374e-05,6.855588249580671e-07,0.29071605565087527,-0.009283944349124718,-3.1934749280837544,-8.506809477007398,-8.28460693359375
-157.0,0.0,26.31999,21.40002,-156.7293830160929,-2.037904214170381,-0.11478817052408853,-0.26691184982096355,-0.010338618912760417,1.2406061104319529e-05,1.2205090516851505e-05,6.905771829650817e-06,0.2907320875103729,-0.009267912489627106,-3.187784523198335,-8.506809477007398,-8.2843017578125
